"Please select order(s) as well as a new order status.","Please select order(s) as well as a new order status."
"Attention: The installed extension version is not compatible with Magento Enterprise Edition. The compatibility of the currently installed extension version has only been confirmed with Magento Community Edition. Please go to <a href=""https://www.xtento.com"" target=""_blank"">www.xtento.com</a> to purchase or download the Enterprise Edition version of this extension.","Attention: The installed extension version is not compatible with Magento Enterprise Edition. The compatibility of the currently installed extension version has only been confirmed with Magento Community Edition. Please go to <a href=""https://www.xtento.com"" target=""_blank"">www.xtento.com</a> to purchase or download the Enterprise Edition version of this extension."
"Could not process order with entity_id %1. Order has been deleted in the meantime?","Could not process order with entity_id %1. Order has been deleted in the meantime?"
"Total of %1 order(s) were modified.","Total of %1 order(s) were modified."
"Status Color","Status Color"
"If you want to remove the color for an order status, set it to #000000 (the darkest black you can find)","If you want to remove the color for an order status, set it to #000000 (the darkest black you can find)"
"Order Status Notifications","Order Status Notifications"
"Order Status Change - Default Template","Order Status Change - Default Template"
"--- No template selected - no notification ---","--- No template selected - no notification ---"
%1,%1
"Change order status","Change order status"
"%name,","%name,"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Your order #%increment_id has been updated with a status of <strong>%order_status</strong>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Advanced Order Status","Advanced Order Status"
"Extension Configuration","Extension Configuration"
"General Configuration","General Configuration"
"Server Name","Server Name"
"License Key","License Key"
"Please enter your license key here.","Please enter your license key here."
"Module Enabled","Module Enabled"
"A valid license key is required in order to enable the module.","A valid license key is required in order to enable the module."
"Status Configuration","Status Configuration"
"Visible order statuses","Visible order statuses"
"Only selected order statuses will be shown in the ""Status"" dropdown when changing the order status. Select multiple actions by holding down Shift or Ctrl while selecting statuses.","Only selected order statuses will be shown in the ""Status"" dropdown when changing the order status. Select multiple actions by holding down Shift or Ctrl while selecting statuses."
